index,日期,總處理廢棄物量,本市垃圾量小計,清潔隊清運量,自運一般垃圾量,一般事業垃圾量,災害廢棄物,污泥量,溝泥進場量,溝泥掩埋量,營建廢棄物,廚餘再利用量小計,其他有機廢棄物再利用量,堆肥廚餘再利用量,養豬廚餘再利用量,人口,物價指數
156,1999-01,104101.05999999998,,84982.89,511.34,17705.03,,0.0,,,0.0,0.0,,0.0,0.0,2640465,82.4
157,1999-02,102491.52,,85293.78,444.54,15735.15,,0.0,,,0.0,0.0,,0.0,0.0,2640102,84.06
158,1999-03,109001.0,,83939.9,5448.15,18628.3,,0.0,,,0.0,0.0,,0.0,0.0,2640285,81.76
159,1999-04,102102.02,,81099.22,748.35,19269.79,,0.0,,,0.0,0.0,,0.0,0.0,2640225,82.25
160,1999-05,115414.18,,88943.92,3368.4,22056.28,,0.0,,,0.0,0.0,,0.0,0.0,2640014,82.51
161,1999-06,119565.82,,94501.33,873.18,22991.65,,0.0,,,0.0,0.0,,0.0,0.0,2640322,82.91
162,1999-07,128839.97,,97978.59,890.25,28830.99,,0.0,,,0.0,0.0,,0.0,0.0,2640318,82.6
163,1999-08,125614.86,,97258.86,2612.21,24685.17,,0.0,,,0.0,0.0,,0.0,0.0,2639169,83.53
164,1999-09,115332.0,,90344.55,1924.37,22075.22,,0.0,,,0.0,0.0,,0.0,0.0,2638249,83.69
165,1999-10,118376.32,,90947.28,2194.48,24265.44,,0.0,,,0.0,0.0,,0.0,0.0,2638204,84.37
166,1999-11,115433.63,,85966.0,5512.0,23000.0,,0.0,,,0.0,0.0,,0.0,0.0,2639869,83.99
167,1999-12,117671.42,,87944.0,3571.0,25215.0,,0.0,,,0.0,0.0,,0.0,0.0,2641312,83.78
168,2000-01,123173.28,,93552.01,3316.48,25274.18,,0.0,,,0.0,0.0,,0.0,0.0,2643340,83.2
169,2000-02,109389.07,,84686.73,2818.88,20888.04,,0.0,,,0.0,0.0,,0.0,0.0,2645593,85.0
170,2000-03,111251.27,,86524.27,2458.63,21291.82,,0.0,,,0.0,0.0,,0.0,0.0,2646861,83.0
171,2000-04,107426.5,,83232.96,2341.08,20957.38,,0.0,,,0.0,0.0,,0.0,0.0,2647085,83.76
172,2000-05,121032.65,,94315.29,3135.1,22561.89,,0.0,,,0.0,0.0,,0.0,0.0,2646989,84.35
173,2000-06,116945.95,,91234.85,3155.35,21621.7,,0.0,,,0.0,0.0,,0.0,0.0,2646753,84.43
174,2000-07,90123.89,,57626.95,2909.33,28569.01,,0.0,,,0.0,0.0,,0.0,0.0,2647614,84.0
175,2000-08,95539.49,,63821.87,3376.12,27218.92,,0.0,,,0.0,0.0,,0.0,0.0,2646187,84.26
176,2000-09,86708.93000000001,,55144.64,3135.21,27400.22,,0.0,,,0.0,0.0,,0.0,0.0,2645314,85.2
177,2000-10,82748.05,,51576.38,1865.53,28352.36,,0.0,,,0.0,0.0,,0.0,0.0,2645456,85.38
178,2000-11,90325.46,,59074.0,2283.0,28035.0,,0.0,,,0.0,0.0,,0.0,0.0,2645979,85.83
179,2000-12,81238.29000000001,,50204.0,1776.0,28285.0,,0.0,,,0.0,0.0,,0.0,0.0,2646474,85.27
180,2001-01,113335.76,,84216.59,1661.88,26320.67,,0.0,,,0.0,0.0,,0.0,0.0,2647076,86.35
181,2001-02,77865.89,,50611.61,1952.92,24487.68,,0.0,,,0.0,0.0,,0.0,0.0,2645881,84.06
182,2001-03,86399.65000000001,,54471.99,2071.67,28973.11,,0.0,,,0.0,0.0,,0.0,0.0,2644602,83.97
183,2001-04,84352.62999999999,,52960.99,2374.87,28106.37,,0.0,,,0.0,0.0,,0.0,0.0,2643578,84.65
184,2001-05,94212.5,,56945.81,2896.13,33364.25,,0.0,,,0.0,0.0,,0.0,0.0,2641820,84.52
185,2001-06,87386.06999999999,,56267.61,1349.06,28723.2,,0.0,,,0.0,0.0,,0.0,0.0,2641036,84.55
186,2001-07,89199.70999999998,,55038.05,2071.2,31111.18,,0.0,,,0.0,0.0,,0.0,0.0,2639619,84.42
187,2001-08,85934.69,,53018.21,2441.64,29569.39,,0.0,,,0.0,0.0,,0.0,0.0,2636811,85.11
188,2001-09,204818.67,,174203.44,1746.23,27865.45,,0.0,,,0.0,0.0,,0.0,0.0,2634686,85.21
189,2001-10,145062.64,,115946.42,1709.19,26616.03,,0.0,,,0.0,0.0,,0.0,0.0,2634429,86.03
190,2001-11,102092.58,,74643.0,1979.0,24791.0,,0.0,,,0.0,0.0,,0.0,0.0,2634614,85.03
191,2001-12,78622.26000000001,,49684.0,1555.0,26651.0,,0.0,,,0.0,0.0,,0.0,0.0,2633802,84.09
192,2002-01,89058.37000000002,,58928.5,1966.73,26173.19,,1143.25,,,82.46,0.0,,0.0,0.0,2632515,84.0
193,2002-02,79990.0,,55024.09,1431.89,21721.86,,833.99,,,127.23,0.0,,0.0,0.0,2632010,85.48
194,2002-03,77275.4,,51355.99,949.3,23194.63,,922.31,,,59.59,0.0,,0.0,0.0,2632789,83.55
195,2002-04,76533.72000000003,,53413.27,882.03,20593.33,,854.46,,,36.32,0.0,,0.0,0.0,2634028,84.41
196,2002-05,80920.92,,55552.33,629.84,23405.51,,486.19,,,0.21,0.0,,0.0,0.0,2633611,84.06
197,2002-06,77373.28999999996,,51421.8,872.69,23806.19,,397.29,,,22.4,0.0,,0.0,0.0,2635678,84.54
198,2002-07,81549.81,,53737.19,1044.29,24946.55,,903.94,,,45.21,0.0,,0.0,0.0,2638142,84.61
199,2002-08,77814.25000000001,,53439.75,1089.94,21669.94,,826.11,,,32.91,0.0,,0.0,0.0,2637623,84.58
200,2002-09,71002.40000000001,,49313.34,971.75,19125.78,,850.71,,,8.07,0.0,,0.0,0.0,2637215,84.65
201,2002-10,71273.97,,49576.52,869.11,18984.5,,1143.95,,,0.91,0.0,,0.0,0.0,2639094,85.39
202,2002-11,68241.26,,45380.0,778.0,17917.0,,3291.0,,,247.0,0.0,,0.0,0.0,2641786,85.15
203,2002-12,70796.03,,47682.0,756.0,17257.0,,4081.0,,,357.0,0.0,,0.0,0.0,2641856,84.66
